"genes","logFC","logCPM","PValue","FDR"
"LOC429348",-1.774282361,2.649987228,5.40191548703568e-05,0.008315224
"LOC112532892",-2.251031102,-1.293044785,5.65637893009373e-05,0.008605024
"EIF3E",0.728758349,6.973587702,5.71869143146103e-05,0.008605024
"LOC101749752",2.57880962,-0.98711259,6.12449240663996e-05,0.009113245
"ZNF217L",0.874585672,5.071282597,6.28879536508108e-05,0.009254895
"SRP19",-0.958439305,4.559656664,6.53157012569178e-05,0.009507694
"BARL",1.400653632,3.975130909,6.96058252349244e-05,0.009951292
"CDC42SE1",-0.990500554,5.133824876,6.98492729866685e-05,0.009951292
"E2F1",-1.154386563,4.139687913,7.66929652852281e-05,0.010811286
"KCNB2",0.743934257,6.595864255,7.84984686861854e-05,0.010848776
"CREBRF",0.952009814,4.076668492,7.85790941020349e-05,0.010848776
"PIGS",-0.938251188,4.092992267,8.05989833324364e-05,0.01089827
"NOP2",-0.836406283,4.241625395,8.18017309445859e-05,0.01089827
"LOC112530170",-0.92987658,4.365169243,8.25518239369047e-05,0.01089827
"SRP14",-0.968815939,4.745576527,8.26424933171458e-05,0.01089827
"ERR2984230.28015",-1.713268294,4.121095861,8.37748649311651e-05,0.01089827
"NAA10L",-0.856427083,3.798249103,8.38203288418855e-05,0.01089827
"EPHX2",-0.915932616,7.635945302,8.50358907893652e-05,0.010950006
"LOC112532244",-1.8796505,0.315635464,9.01174773826911e-05,0.011493841
"TUFT1",-1.513229542,0.390669665,9.16326716713775e-05,0.011576837
"LOC107052085",-1.097428472,5.670442759,9.43252924593385e-05,0.011805648
"HRASLS",-0.981180949,3.802314609,9.93316481755512e-05,0.012317124
"MYBBP1A",-0.934341441,4.091545792,0.000100827,0.012387801
"ADAMTS5",1.429195444,4.351617206,0.000107327,0.013066517
"ACTC2L",-1.43539032,9.140206671,0.000108426,0.013081467
"CPT1A",1.514009074,7.068580954,0.000114954,0.013745236
"LOC101752020",-1.001783929,2.588868493,0.000122296,0.014324888
"GPATCH2L",1.6064405,2.320762778,0.0001236,0.014324888
"CMBL",1.28742392,4.255051555,0.000123989,0.014324888
"LOC107053736",1.49902268,3.685679787,0.000124635,0.014324888
"FTSJ3",-0.801236566,4.384539044,0.00012515,0.014324888
"LOC107049164",-1.559045185,5.50422264,0.000127236,0.01444017
"DENND4A",0.850552271,5.86134799,0.000129014,0.014518952
"SLC52A3",-0.831875403,3.062299219,0.000134608,0.014895919
"YPEL1",0.902576209,6.527252321,0.000135406,0.014895919
"NIP7",-1.145589835,4.315069655,0.000135701,0.014895919
"KANK1",0.739091414,5.666890125,0.000137986,0.01490668
"SAE1",-0.810427506,4.717297268,0.000138025,0.01490668
"SPIA5",0.963886765,7.047964512,0.0001394,0.014934794
"LOC100857932",-0.909485812,3.740516597,0.000141812,0.015072552
"BYSL",-0.939506013,4.267566375,0.00014397,0.015181468
"MRPS28",-1.229311107,3.945982328,0.000145842,0.015258711
"DPYSL2",-1.041592504,4.673319109,0.000160345,0.016587628
"TMEM132B",-1.401498247,2.206948323,0.000161021,0.016587628
"QARS",-0.688164136,5.151562967,0.000163395,0.01670376
"LOC107050350",-1.473529344,0.230172018,0.000167647,0.016721076
"HSD17B7",-1.177828949,5.625378667,0.000167833,0.016721076
"PNAT3",0.783824465,3.381997614,0.000168143,0.016721076
"SLIRP",-1.140619103,4.245838006,0.000168559,0.016721076
"PPIB",-1.116249113,8.643230195,0.000176777,0.01734269
"WDR55",-0.791121822,3.961379336,0.000177416,0.01734269
"LOC100858809",-1.095111535,1.952996217,0.000180329,0.017499762
"DHX29",0.624284943,4.302087668,0.000192668,0.018222114
"PGAM1",-0.91701125,8.72651526,0.000193223,0.018222114
"LOC101750908",1.624535506,0.269786378,0.0001942,0.018222114
"MTHFD2",-0.924172341,2.328204529,0.000194458,0.018222114
"CORO2A",0.770230612,4.873951745,0.000196537,0.018222114
"ACSS1L",1.008739163,4.365265269,0.000196692,0.018222114
"B4GALT7",-0.967695967,4.58967331,0.000198639,0.018222114
"CYP4V2",0.878043656,7.312679567,0.000198658,0.018222114
"PPA1",-1.145476751,6.620419203,0.000200136,0.018232786
"TRABD",-0.863025717,5.824382412,0.000202954,0.018364565
"DST",1.429527914,3.895428278,0.000209432,0.018823535
"ATAD3A",-0.776111112,4.376364887,0.000211378,0.018871863
"FLAD1",-0.985232939,3.331008045,0.000214932,0.019062032
"IPO5",0.620743173,6.250924057,0.000217231,0.019139165
"AACS",-1.226212476,6.363483878,0.00022385,0.019561484
"GLUL",-0.946819775,8.862962385,0.000224945,0.019561484
"ARL2",-1.436784164,0.697727189,0.000229086,0.019782146
"DDX18",-0.848501137,4.417920335,0.000230437,0.019782146
"KSR1",0.716652774,4.878192321,0.000235029,0.019841858
"ALDOB",0.83390507,11.89967459,0.000237372,0.019841858
"NAT10",-0.773029077,4.554337729,0.000238883,0.019841858
"MPI",-0.789199106,3.000975752,0.000239434,0.019841858
"CYCS",-0.761928762,6.550348448,0.000239529,0.019841858
"LOC112532524",2.641207573,0.772218636,0.000240022,0.019841858
"TP63",1.496916835,-0.02019185,0.000241918,0.019875869
"ERR2984230.28016",-1.605554013,2.737965853,0.000243816,0.019909657
"IQGAP2",0.717686105,6.606152788,0.000247125,0.020022351
"NDUFA12",-0.776323583,5.372160245,0.000248186,0.020022351
"DGUOK",-1.30817218,1.098891542,0.00025269,0.020074603
"LOC101749898",1.257187351,7.279640062,0.00025323,0.020074603
"JUND",-1.188041434,4.975478767,0.00025361,0.020074603
"CMC4",-0.950245766,4.536297929,0.000255051,0.020074603
"LSM12",-1.002175958,3.678511127,0.000257061,0.020074603
"JMY",0.767432253,3.602477428,0.000257828,0.020074603
"POLR3H",-0.840253585,3.498468294,0.00026558,0.02019559
"RRP12",-0.883662863,4.482474672,0.000267364,0.02019559
"NQO1",-0.737547684,7.353567933,0.00026789,0.02019559
"TANC1",0.989506985,4.946885104,0.000268004,0.02019559
"H1F0",-1.346573795,3.397177803,0.00026821,0.02019559
"TPST2",0.717635573,3.536476587,0.000268499,0.02019559
"IL1RL2",0.779385589,5.82328481,0.00027021,0.02019559
"LOC112532176",-1.093753519,1.088540124,0.000272829,0.02019559
"NHLRC3",0.81774736,4.348792713,0.000272954,0.02019559
"TRNT1",-0.687644989,4.22894563,0.000274613,0.020206696
"ZC2HC1C",-0.810739835,5.698757309,0.000281446,0.020596338
"LOC769668",-0.98656145,7.95433217,0.00029552,0.021436135
"F11",1.078357412,5.669163018,0.000296123,0.021436135
"TXNIP",0.701699379,6.051443264,0.000304293,0.021909116
"CKS1B",-1.701511483,2.549686564,0.000306261,0.021932885
"C1QBP",-0.773907289,6.174567681,0.000308142,0.021950215
"NSMF",-0.806898711,4.396977148,0.000311609,0.022042517
"B3GNT2",1.015420544,4.67811849,0.000314342,0.022042517
"ACOX3",0.713586684,4.298681455,0.000314376,0.022042517
"EEF2K",0.874097099,5.385916226,0.000317698,0.022159401
"LOC101751578",-1.641039662,1.388875508,0.000321629,0.022309613
"ACOT8",-0.992820561,5.552279654,0.000323183,0.022309613
"RBPMS",-0.88494225,2.720427559,0.000330402,0.022690999
"SUN2",0.831059219,7.625704875,0.000336953,0.02302281
"ABCA8",1.028144365,7.085752566,0.000341878,0.023222528
"PRORSD1P",-0.84056883,3.785927083,0.000343344,0.023222528
"UCK2",-1.390276658,1.989904396,0.000350558,0.023591305
"UCHL3",-0.699388278,4.079975856,0.000354049,0.023618
"GSL",-1.084127515,2.806112461,0.000354482,0.023618
"MIA2",0.778816844,8.08507298,0.000356301,0.023621719
"TBCA",-0.901394674,6.066587925,0.00035904,0.023686031
"C3AR1",0.911452923,3.232923445,0.000370408,0.024316186
"OAZ2",0.807172909,5.216262075,0.00037226,0.024318552
"CD83",0.870266333,3.42186606,0.000374475,0.024344515
"LOC112533303",-1.686436397,5.183266023,0.000379575,0.024556853
"LOC107051620",0.750216928,4.090479334,0.000385008,0.024788575
"DZIP1",1.345184533,1.161100203,0.000394837,0.025184133
"TSR1",-0.775263856,4.897370436,0.000394912,0.025184133
"TPD52",-0.717649743,6.021963345,0.00040898,0.02581026
"HDGF",-0.783230461,6.718656041,0.000410148,0.02581026
"LOC107054098",1.440685402,2.124176015,0.000410699,0.02581026
"LOC107054179",1.46489652,2.613018339,0.000414583,0.02581026
"ARPC4-TTLL3",-0.901054298,4.221292627,0.000414998,0.02581026
"XKRX",-1.104966378,4.607946746,0.000417511,0.02581026
"MAP2K2",-0.660653607,3.991175916,0.000418279,0.02581026
"NPTXR",-0.714204133,6.535712578,0.000420149,0.02581026
"VPS72",-0.66210735,4.126699531,0.00042784,0.026162702
"FBXO32",0.999698461,3.061582988,0.000430638,0.026214121
"JAG1",-0.887710306,4.59256643,0.000432938,0.026234854
"UTP4",-1.018146046,2.958610529,0.000442959,0.026721206
"ATP5F1B",-0.839707037,9.169625918,0.000453277,0.027003179
"PDSS1",-0.786940176,3.461641381,0.000453542,0.027003179
"RBPJ",1.093112488,3.540999361,0.000453682,0.027003179
"TMEM183A",-0.851619893,6.229519505,0.000457875,0.027104041
"AHR",0.869686299,5.241949301,0.000459425,0.027104041
"NDUFV1",-0.742721982,6.947217978,0.000466203,0.027290592
"SNRPA1",-1.095017785,3.661279981,0.000466663,0.027290592
"INPP5F",1.01796969,3.155691793,0.000474261,0.027417578
"TBCCD1",-0.809359052,3.049511116,0.000475401,0.027417578
"LOC107050614",-1.205920525,4.654063557,0.000477187,0.027417578
"HSP90AB1",-0.919017037,3.208847883,0.000477366,0.027417578
"B3GALT5",1.089274113,4.676781461,0.000479071,0.027417578
"MRPS24",-1.137135012,2.905843302,0.000490676,0.027917886
"GTPBP10",-1.255982906,2.327298994,0.000492115,0.027917886
"LMAN2L",-0.574410616,5.207645732,0.000494067,0.027917886
"HSD17B10",-0.849334291,6.978053286,0.00049697,0.027963935
"SLC19A2",-0.99347353,3.139509546,0.00050684,0.028400024
"METTL23",-1.694736706,3.811920572,0.000513849,0.028672784
"AS3MT",-0.801319777,5.421336771,0.000522241,0.029020119
"AvBD8",-0.807860535,7.28277415,0.000525923,0.029103953
"SHMT1",-0.781414974,8.911607861,0.000529866,0.029201524
"TNFRSF21",-0.772851938,6.060565396,0.000532335,0.029217322
"CRBN",0.627037387,4.26114671,0.000540065,0.029520616
"SNRPL",-0.757707403,4.237759685,0.000553392,0.030126123
"NDUFS8",-0.758748569,6.56021882,0.000559266,0.030322645
"CXorf23",0.766828908,4.343924803,0.000565134,0.030329515
"CL2",-0.957807803,9.45903021,0.000565677,0.030329515
"LOC107052275",-1.312048278,-0.286853717,0.000567112,0.030329515
"HMOX1",0.744600679,7.227458212,0.000568452,0.030329515
"RSL1D1",-0.671735556,4.294331752,0.000575602,0.030589151
"CDKN2B",-1.146975528,2.772455915,0.000580338,0.030644417
"SETD6",-0.754867921,3.118725318,0.000581219,0.030644417
"OGFOD1",-0.709308541,3.416518775,0.00058875,0.030919775
"PRKG1",0.855040998,5.099642567,0.000608693,0.031779598
"LOC112530174",-0.913148742,4.605873486,0.000609868,0.031779598
"ESR1",1.343028628,3.756313764,0.000628806,0.032639402
"DDO",-0.700327022,4.278490349,0.000642971,0.033158501
"LOC107056412",-0.724799687,6.552461566,0.000644841,0.033158501
"LRP5",0.673514005,5.098164775,0.000646234,0.033158501
"TFB1M",0.821377707,3.608033186,0.000649187,0.033182886
"RETSAT",-0.826412289,8.015349322,0.000658051,0.033508077
"LOC101749423",2.17072803,-0.534976687,0.000670968,0.033957192
"TBRG4",-0.737825149,5.124769159,0.00067268,0.033957192
"LDLRAD3",-1.128831922,3.351181939,0.000674832,0.033957192
"TCP11L2",0.999811518,4.758580324,0.000677014,0.033957192
"ARHGEF18",0.887119228,5.399527965,0.000683507,0.034044235
"KIAA1551",0.619674555,4.616207651,0.000686029,0.034044235
"LOC112532889",-1.581599432,0.436576011,0.000688585,0.034044235
"NBEAL1",0.593722945,5.065754613,0.000690336,0.034044235
"CCSER1",1.118962789,0.946803063,0.00069146,0.034044235
"CDCA9",1.142841793,2.775908023,0.000700998,0.034274256
"THOC3",-0.757805581,3.222795547,0.00070125,0.034274256
"LRP6",0.838923986,4.30706805,0.000712909,0.034717387
"CYLD",0.709503477,4.225638022,0.000720396,0.03495488
"IDH1",0.828803574,8.699784876,0.000731193,0.035267511
"IPO4",0.703847873,3.486970668,0.000732951,0.035267511
"MAML3",0.633216298,3.732102335,0.00073561,0.035267511
"LOC107057318",-0.585679749,4.11405681,0.000739978,0.035267511
"MRPL45",-0.695003745,5.308382479,0.000740007,0.035267511
"NAALADL2",0.665881697,6.126763206,0.000743352,0.035301331
"PNPLA3",-0.759759141,10.17663576,0.000754707,0.035664794
"HARS",-0.664875033,5.447627522,0.000758915,0.035664794
"PANK1",0.771651474,7.063443541,0.000760667,0.035664794
"NDUFS2",-0.724466003,5.903129038,0.0007625,0.035664794
"SLC16A2",0.703040208,5.053761734,0.000764322,0.035664794
"TUBA1A1",-0.935223421,7.452556291,0.00077499,0.035859279
"SKA3",-1.446418217,-0.157205985,0.000776104,0.035859279
"NDUFAB1",-0.956727422,4.648257807,0.00077771,0.035859279
"LOC107052392",-0.795508042,5.725963331,0.0007792,0.035859279
"SAR1A",-0.573822882,5.503107355,0.000783451,0.035931421
"MRPL4",-0.798750657,2.644575427,0.000788463,0.03603789
"LOC101751159",1.686991138,-0.038287459,0.000798344,0.036128881
"ACY1",-0.7117133,6.438202086,0.000800639,0.036128881
"TTC21B",0.987768378,2.10616746,0.000801132,0.036128881
"AKR1E2",-0.826668515,4.526706346,0.000801245,0.036128881
"UTP14A",-0.587115746,4.039354623,0.000804878,0.036170906
"DNAJC12",1.338610759,4.575620035,0.000824616,0.036933975
"FOXP2",0.873931936,4.746383062,0.00082838,0.036978871
"FAXDC2",0.728503456,3.99304771,0.000837504,0.037216964
"LTK",1.733737712,0.25927855,0.000839271,0.037216964
"FAM134B",0.942904823,5.772888716,0.000842235,0.037225107
"TMEM116",0.769444188,3.384159534,0.000848057,0.037359153
"MCTS1",-0.687959537,4.906922783,0.00085702,0.037630221
"PDZD7",-1.195537523,0.943600258,0.000863025,0.037770043
"TBC1D32",1.447096668,1.229644053,0.000870969,0.037993544
"NECTIN3",0.831436987,3.923914314,0.000875169,0.038038937
"CCDC102A",-0.902628683,2.23182038,0.000877691,0.038038937
"PRKD3",0.932259038,4.034058089,0.000882166,0.038109559
"LOC107053051",1.072954648,6.858867937,0.000888177,0.038245871
"ALYREF",-0.655453542,4.234566594,0.000916767,0.039079282
"PANX2",-1.248536367,0.422330715,0.000918967,0.039079282
"GNMT",-0.967171203,7.619588427,0.000920757,0.039079282
"PCMTD2",0.70881042,4.633255757,0.000921534,0.039079282
"LOC107050595",-1.328824435,5.387030711,0.00092385,0.039079282
"GTF3C6",-0.924761005,3.544382879,0.000929253,0.039079282
"TBCEL",0.644633224,5.762970788,0.000929708,0.039079282
"HSPA13",-0.754301011,4.556425813,0.000930876,0.039079282
"LOC101749109",1.188429101,2.588368246,0.000935902,0.039167481
"SC5D",-0.745157108,8.16924566,0.000952522,0.039604217
"PPFIBP2",0.659430901,5.088229386,0.000952845,0.039604217
"PPARGC1A",1.577655907,1.942568604,0.000955209,0.039604217
"FAM13A",0.661736818,5.881485607,0.000969562,0.040075223
"SNRPF",-0.936247011,3.736226712,0.000977152,0.04026469
"RCOR3",0.86153866,3.041452319,0.000982707,0.040341389
"DAZAP1",-0.580157777,5.493065138,0.000985038,0.040341389
"PHB",-0.714719116,5.975259211,0.000996159,0.040672425
"HSPA5",-0.983045644,10.04478614,0.001006457,0.040937876
"OPN2SW",-1.562809091,-0.531403742,0.001008774,0.040937876
"EIF2A",-0.6236168,5.41576478,0.001019478,0.041247283
"CACNA1H",1.728393482,2.754505305,0.001043728,0.042101214
"HNF4G",0.669438025,3.409225944,0.001052867,0.042251867
"NIF3L1",-0.856386162,2.461136848,0.001053773,0.042251867
"HIC2",0.647844607,4.152762675,0.001062218,0.042463343
"MRPL47",-0.719278172,3.821121373,0.001070133,0.042545642
"SEC14L3",-0.830676678,7.264754269,0.00107063,0.042545642
"BAAT",-0.689235798,5.452946492,0.001087291,0.042964205
"CASP18",0.76420419,3.703321846,0.0010897,0.042964205
"GYS2",0.709956033,6.380625384,0.001094406,0.042964205
"LOC112530898",-0.847061978,3.021416984,0.001096161,0.042964205
"KLF9",-1.165860616,4.757191445,0.001097204,0.042964205
"TWNK",-0.956341454,4.080780276,0.001105583,0.043089469
"PRR7",-1.240930334,0.730984778,0.001106838,0.043089469
"NDUFA8",-0.723222946,6.083781331,0.001118219,0.043406344
"CEP135",1.326080451,-0.17543061,0.001127864,0.043654215
"ENTPD7",-0.817261056,3.03717794,0.001144892,0.044185558
"ILKAP",-0.733939676,3.836509,0.001159151,0.044607309
"EVI5",0.609517828,6.14397074,0.001167628,0.044790183
"BAG4",-0.625424544,3.97563606,0.001172125,0.044790183
"HOGA1",-1.135716441,0.994650149,0.001175891,0.044790183
"SGF29",-0.607482081,5.288470265,0.001177281,0.044790183
"SEC14L2",-0.812272099,7.806828583,0.001182766,0.044865422
"LOC112530098",-1.652742377,0.483039788,0.001185959,0.044865422
"ITPKA_1",1.360065872,4.086283374,0.001212863,0.045753977
"SLC25A5",-0.691306223,7.076937832,0.001216499,0.045762217
"BCL6",-0.93102617,5.477966048,0.001233189,0.046185693
"LOC112530473",1.306035091,0.056576439,0.001234653,0.046185693
"NAV2",0.834051603,6.150473137,0.001243359,0.046302005
"KDR",0.779111212,4.146113445,0.001244678,0.046302005
"RBP5",-1.029986027,3.756716371,0.001250624,0.046334138
"RIOK1",-0.572106151,3.807923578,0.001252461,0.046334138
"MRPS31",-0.616989602,4.876889324,0.001262149,0.04646099
"LOC101752163",0.651580398,4.812888233,0.001262829,0.04646099
"LOC100859273",-0.859508597,4.625943048,0.001267978,0.046522619
"TNFSF10",1.001124884,8.729864002,0.001274112,0.046619976
"TIAM2",1.054558359,0.481245088,0.001288165,0.047005752
"TUBA3E",-0.616919049,4.197684055,0.001303506,0.047358222
"NUDT14",0.585392923,4.573650679,0.001313003,0.047358222
"PPARG",0.847012302,2.1956979,0.001313533,0.047358222
"MC5R",0.826730598,6.905743426,0.001313921,0.047358222
"LPCAT3",-0.679747448,5.258128116,0.001318844,0.047358222
"LOC101751268",1.515387356,1.732895561,0.001321662,0.047358222
"CYP2C23b",1.323547987,8.016648918,0.001322579,0.047358222
"C28H19ORF44",0.889607623,2.183381512,0.001334839,0.04766976
"NCAPH2",-1.195497033,0.97834473,0.001342267,0.04780757
"AURKAIP1",-0.718315,4.146270498,0.001374095,0.048811365
"UQCRQ",-0.969628175,6.642317338,0.001390595,0.049266788
"DGKQ",0.728583727,6.181537862,0.001401032,0.049505593
"SRP9",-0.609859305,5.068244606,0.001406527,0.049537343
"STOML2Z",-0.707118809,4.802543338,0.001409329,0.049537343
"LOC112531158",-1.110169572,2.395045248,0.001416011,0.049641928
"LOC107053667",1.774472263,2.641551836,0.001428246,0.049830056
"GALR1L",0.78755058,2.607018141,0.001428819,0.049830056
"FEN1",-0.926932546,2.862940738,0.001434986,0.049915155
"CCT3",-0.747733933,5.319394016,0.001440066,0.049948067
"LGR6",1.491300988,0.321727763,0.001445048,0.049948067
"HPF1",-0.761968269,3.173014674,0.001447121,0.049948067
"MDH2",-0.560767383,7.502631083,0.001459817,0.050256722
"FAHD2AL",-0.966855261,4.570826015,0.001474438,0.050629933
"ESRP2",0.62967465,5.708810426,0.001493663,0.051158905
"CDK2",-0.878604638,1.852976129,0.001503446,0.051362614
"CIC",-1.198014853,3.304628925,0.001523826,0.05180517
"ALDOC",-0.901476624,3.151616554,0.001524137,0.05180517
"CCDC61",-0.816313571,4.32748366,0.001529332,0.05185017
"LOC107049485",-0.800609912,2.77572052,0.001541325,0.052119531
"WDFY2",0.530578347,5.154326978,0.001545061,0.052119531
"MRPL12",-0.826424716,5.313813122,0.001556757,0.052306902
"RUSC2",0.986720157,2.987372764,0.001561899,0.052306902
"GMPPA",-0.631272488,5.387751017,0.001562333,0.052306902
"NMT1",-0.542828355,4.539419356,0.00160342,0.053548633
"POLR3D",-0.814503629,2.947232834,0.001610617,0.053655169
"MRPL27",-0.822842079,3.883415842,0.00162047,0.053849477
"RASSF9",0.789165872,3.231784967,0.001629151,0.053903655
"QPRT",-0.841546598,5.885998423,0.001630151,0.053903655
"SLC22A5",1.009663772,6.850312942,0.001648695,0.054382579
"TUSC1",1.312358836,0.673301225,0.001654695,0.054446387
"UBE2M",-0.961378668,4.234386631,0.001672101,0.054884252
"CYP3A4",0.850752366,4.419916678,0.00168519,0.055066745
"RFX3",0.809985775,4.18486399,0.001685885,0.055066745
"LOC107054625",-1.156177218,0.499134059,0.001691275,0.055108422
"PUS7",-0.608068679,4.206173328,0.001704313,0.055333395
"NCOA7",0.797943885,4.052003372,0.001714134,0.055333395
"RABGGTB",0.71100392,4.926839566,0.001715931,0.055333395
"NMRK2",-1.200694714,0.167550733,0.001722928,0.055333395
"AN1ZNF5L",-0.824217513,6.966190105,0.00172902,0.055333395
"GPR156",-1.528324339,0.292510649,0.001729055,0.055333395
"LSM1",-1.406763053,2.77724183,0.001730772,0.055333395
"RNF19A",0.595755305,4.636255591,0.00173529,0.055333395
"RBM8A",-0.603484513,4.634444052,0.001735366,0.055333395
"PARL",-0.603586785,4.789403519,0.001741877,0.055409074
"UBL5",-0.851348642,5.818077373,0.001746474,0.055423653
